Categories,Location,Yr Built,Median Av Total
Commercial,West Fens|Kenmore Square,1899,4222000
Commercial,West Fens|Kenmore Square,1900,4534750
Commercial,West Fens|Kenmore Square,1904,11163500
Commercial,West Fens|Kenmore Square,1905,3202500
Commercial,West Fens|Kenmore Square,1907,753739
Commercial,West Fens|Kenmore Square,1910,1953000
Commercial,West Fens|Kenmore Square,1911,9597500
Commercial,West Fens|Kenmore Square,1915,2008100
Commercial,West Fens|Kenmore Square,1916,6555600
Commercial,West Fens|Kenmore Square,1918,3852000
Commercial,West Fens|Kenmore Square,1919,4299000
Commercial,West Fens|Kenmore Square,1920,3925750
Commercial,West Fens|Kenmore Square,1922,2406500
Commercial,West Fens|Kenmore Square,1923,2240000
Commercial,West Fens|Kenmore Square,1925,14151000
Commercial,West Fens|Kenmore Square,1927,1748500
Commercial,West Fens|Kenmore Square,1930,3841350
Commercial,West Fens|Kenmore Square,1950,2243650
Commercial,West Fens|Kenmore Square,1951,978000
Commercial,West Fens|Kenmore Square,1958,12326050
Commercial,West Fens|Kenmore Square,1960,5269500
Commercial,West Fens|Kenmore Square,1961,23958500
Commercial,West Fens|Kenmore Square,1962,1041000
Commercial,West Fens|Kenmore Square,1965,16388000
Commercial,West Fens|Kenmore Square,1969,8106000
Commercial,West Fens|Kenmore Square,1970,5693300
Commercial,West Fens|Kenmore Square,1972,66395500
Commercial,West Fens|Kenmore Square,1973,21677500
Commercial,West Fens|Kenmore Square,1975,6927500
Commercial,West Fens|Kenmore Square,1978,106932600
Commercial,West Fens|Kenmore Square,1979,4726400
Commercial,West Fens|Kenmore Square,1981,2438500
Commercial,West Fens|Kenmore Square,1983,64736882
Commercial,West Fens|Kenmore Square,1985,64646500
Commercial,West Fens|Kenmore Square,1989,1131500
Commercial,West Fens|Kenmore Square,2005,3993900
Commercial,West Fens|Kenmore Square,2012,27367000
Commercial,West Fens|Kenmore Square,2013,42404000
Commercial,West Fens|Kenmore Square,2015,1220098
Residential,West Fens|Kenmore Square,1800,594450
Residential,West Fens|Kenmore Square,1850,1115300
Residential,West Fens|Kenmore Square,1855,506750
Residential,West Fens|Kenmore Square,1860,588100
Residential,West Fens|Kenmore Square,1865,621400
Residential,West Fens|Kenmore Square,1867,4617700
Residential,West Fens|Kenmore Square,1869,564000
Residential,West Fens|Kenmore Square,1870,656300
Residential,West Fens|Kenmore Square,1871,656800
Residential,West Fens|Kenmore Square,1873,455300
Residential,West Fens|Kenmore Square,1875,1567800
Residential,West Fens|Kenmore Square,1876,2902900
Residential,West Fens|Kenmore Square,1878,1376400
Residential,West Fens|Kenmore Square,1879,2764400
Residential,West Fens|Kenmore Square,1880,755000
Residential,West Fens|Kenmore Square,1881,1206600
Residential,West Fens|Kenmore Square,1882,991100
Residential,West Fens|Kenmore Square,1883,1684500
Residential,West Fens|Kenmore Square,1884,832600
Residential,West Fens|Kenmore Square,1885,609600
Residential,West Fens|Kenmore Square,1886,1261100
Residential,West Fens|Kenmore Square,1887,397000
Residential,West Fens|Kenmore Square,1888,2190750
Residential,West Fens|Kenmore Square,1889,540150
Residential,West Fens|Kenmore Square,1890,690650
Residential,West Fens|Kenmore Square,1891,761700
Residential,West Fens|Kenmore Square,1892,561250
Residential,West Fens|Kenmore Square,1894,526200
Residential,West Fens|Kenmore Square,1895,574275
Residential,West Fens|Kenmore Square,1896,1254850
Residential,West Fens|Kenmore Square,1897,609800
Residential,West Fens|Kenmore Square,1898,1434075
Residential,West Fens|Kenmore Square,1899,613000
Residential,West Fens|Kenmore Square,1900,424400
Residential,West Fens|Kenmore Square,1901,585700
Residential,West Fens|Kenmore Square,1902,1808900
Residential,West Fens|Kenmore Square,1904,417650
Residential,West Fens|Kenmore Square,1905,493100
Residential,West Fens|Kenmore Square,1908,8252000
Residential,West Fens|Kenmore Square,1910,498700
Residential,West Fens|Kenmore Square,1914,10974500
Residential,West Fens|Kenmore Square,1915,380000
Residential,West Fens|Kenmore Square,1916,914500
Residential,West Fens|Kenmore Square,1918,1255700
Residential,West Fens|Kenmore Square,1919,934100
Residential,West Fens|Kenmore Square,1920,415700
Residential,West Fens|Kenmore Square,1922,490400
Residential,West Fens|Kenmore Square,1925,382700
Residential,West Fens|Kenmore Square,1926,69500
Residential,West Fens|Kenmore Square,1927,471500
Residential,West Fens|Kenmore Square,1929,873200
Residential,West Fens|Kenmore Square,1930,385850
Residential,West Fens|Kenmore Square,1932,297000
Residential,West Fens|Kenmore Square,1935,281500
Residential,West Fens|Kenmore Square,1940,206165
Residential,West Fens|Kenmore Square,1944,1670793
Residential,West Fens|Kenmore Square,1950,502300
Residential,West Fens|Kenmore Square,1959,1250650
Residential,West Fens|Kenmore Square,1960,689700
Residential,West Fens|Kenmore Square,1965,479350
Residential,West Fens|Kenmore Square,1972,21877500
Residential,West Fens|Kenmore Square,1984,1597700
Residential,West Fens|Kenmore Square,1986,774400
Residential,West Fens|Kenmore Square,1987,653650
Residential,West Fens|Kenmore Square,1989,806600
Residential,West Fens|Kenmore Square,1990,748200
Residential,West Fens|Kenmore Square,1997,1202500
Residential,West Fens|Kenmore Square,1998,62614500
Residential,West Fens|Kenmore Square,1999,1578900
Residential,West Fens|Kenmore Square,2000,2928450
Residential,West Fens|Kenmore Square,2002,821900
Residential,West Fens|Kenmore Square,2003,2640000
Residential,West Fens|Kenmore Square,2004,904600
Residential,West Fens|Kenmore Square,2006,424100
