Categories,Location,Yr Remod,Median Av Total
Commercial,West Fens|Kenmore Square,1970,2592500
Commercial,West Fens|Kenmore Square,1971,1715500
Commercial,West Fens|Kenmore Square,1974,2875000
Commercial,West Fens|Kenmore Square,1976,3852000
Commercial,West Fens|Kenmore Square,1977,729000
Commercial,West Fens|Kenmore Square,1978,1144961
Commercial,West Fens|Kenmore Square,1980,3751000
Commercial,West Fens|Kenmore Square,1981,1334500
Commercial,West Fens|Kenmore Square,1982,2428000
Commercial,West Fens|Kenmore Square,1983,21449000
Commercial,West Fens|Kenmore Square,1984,7504500
Commercial,West Fens|Kenmore Square,1985,4450500
Commercial,West Fens|Kenmore Square,1986,2170850
Commercial,West Fens|Kenmore Square,1987,1361000
Commercial,West Fens|Kenmore Square,1989,7546500
Commercial,West Fens|Kenmore Square,1990,2202148.5
Commercial,West Fens|Kenmore Square,1992,8106000
Commercial,West Fens|Kenmore Square,1993,2862250
Commercial,West Fens|Kenmore Square,1994,7367000
Commercial,West Fens|Kenmore Square,1997,4304750
Commercial,West Fens|Kenmore Square,1998,4372500
Commercial,West Fens|Kenmore Square,1999,4220000
Commercial,West Fens|Kenmore Square,2000,1675500
Commercial,West Fens|Kenmore Square,2001,5228203
Commercial,West Fens|Kenmore Square,2002,5801100
Commercial,West Fens|Kenmore Square,2003,4801650
Commercial,West Fens|Kenmore Square,2004,3697000
Commercial,West Fens|Kenmore Square,2005,3938500
Commercial,West Fens|Kenmore Square,2006,4527250
Commercial,West Fens|Kenmore Square,2007,2592500
Commercial,West Fens|Kenmore Square,2008,5152100
Commercial,West Fens|Kenmore Square,2009,3223000
Commercial,West Fens|Kenmore Square,2010,5188000
Commercial,West Fens|Kenmore Square,2011,10376750
Commercial,West Fens|Kenmore Square,2012,12486792.5
Commercial,West Fens|Kenmore Square,2013,2965500
Commercial,West Fens|Kenmore Square,2014,2223500
Commercial,West Fens|Kenmore Square,2015,4947500
Commercial,West Fens|Kenmore Square,2016,9524000
Residential,West Fens|Kenmore Square,1935,1688700
Residential,West Fens|Kenmore Square,1950,878750
Residential,West Fens|Kenmore Square,1955,3016000
Residential,West Fens|Kenmore Square,1960,497450
Residential,West Fens|Kenmore Square,1962,1615300
Residential,West Fens|Kenmore Square,1965,270100
Residential,West Fens|Kenmore Square,1968,2370800
Residential,West Fens|Kenmore Square,1969,1819900
Residential,West Fens|Kenmore Square,1970,405500
Residential,West Fens|Kenmore Square,1971,343400
Residential,West Fens|Kenmore Square,1972,1735500
Residential,West Fens|Kenmore Square,1973,902750
Residential,West Fens|Kenmore Square,1974,649450
Residential,West Fens|Kenmore Square,1975,778700
Residential,West Fens|Kenmore Square,1976,583500
Residential,West Fens|Kenmore Square,1977,611300
Residential,West Fens|Kenmore Square,1978,1015650
Residential,West Fens|Kenmore Square,1979,653200
Residential,West Fens|Kenmore Square,1980,488100
Residential,West Fens|Kenmore Square,1981,522600
Residential,West Fens|Kenmore Square,1982,488700
Residential,West Fens|Kenmore Square,1983,581800
Residential,West Fens|Kenmore Square,1984,579900
Residential,West Fens|Kenmore Square,1985,441350
Residential,West Fens|Kenmore Square,1986,319150
Residential,West Fens|Kenmore Square,1987,394500
Residential,West Fens|Kenmore Square,1988,629300
Residential,West Fens|Kenmore Square,1989,657150
Residential,West Fens|Kenmore Square,1990,750200
Residential,West Fens|Kenmore Square,1991,2025200
Residential,West Fens|Kenmore Square,1992,1165600
Residential,West Fens|Kenmore Square,1993,1804500
Residential,West Fens|Kenmore Square,1994,1844000
Residential,West Fens|Kenmore Square,1995,955600
Residential,West Fens|Kenmore Square,1996,565150
Residential,West Fens|Kenmore Square,1997,643600
Residential,West Fens|Kenmore Square,1998,759400
Residential,West Fens|Kenmore Square,1999,1027850
Residential,West Fens|Kenmore Square,2000,517900
Residential,West Fens|Kenmore Square,2001,615600
Residential,West Fens|Kenmore Square,2002,1102100
Residential,West Fens|Kenmore Square,2003,433250
Residential,West Fens|Kenmore Square,2004,1026600
Residential,West Fens|Kenmore Square,2005,638600
Residential,West Fens|Kenmore Square,2006,729500
Residential,West Fens|Kenmore Square,2007,531500
Residential,West Fens|Kenmore Square,2008,559700
Residential,West Fens|Kenmore Square,2009,586200
Residential,West Fens|Kenmore Square,2010,1188500
Residential,West Fens|Kenmore Square,2011,883300
Residential,West Fens|Kenmore Square,2012,966585
Residential,West Fens|Kenmore Square,2013,1274050
Residential,West Fens|Kenmore Square,2014,816950
Residential,West Fens|Kenmore Square,2015,723450
Residential,West Fens|Kenmore Square,2016,1081050
Residential,West Fens|Kenmore Square,2017,1422052
